220	重铸箭头祭坛
221	完成升级的弓
222	反重力方格
223	发光能量球：影院模式下光效未显示
224	双发饮料机上方房间：窗户左侧的箱子
225	双发饮料机附近车辆的后轮
226	萨曼莎房间旁的地球仪
227	电闸附近的电话
228	传送平台发出紫光
229	房间近端左角的灵魂罐
230	房间近端右角箱子上的保险丝
231	记住格罗夫博士锁保险柜时输入的密码
232	打开的保险柜：内有钥匙卡与保险丝
233	记忆游戏符号
234	发光的特斯拉线圈
235	绿色按钮
236	维里尔装置（Vril Device）
237	用于打开箱子的电脑
238	装有守护者石板的箱子
239	墓穴上放置维里尔装置的凹槽
240	骑士盔甲走廊
241	三枪饮料机附近的小路
242	守护者传送到月球
243	缺少一个罐子的月球金字塔装置（M.P.D.）
244	装甲僵尸掉落的诸神黄昏零件
245	进入最终战房间
246	首领战：伤害阶段开始前
247	首领释放的电球
248	首领战：可以造成伤害的阶段
249	召唤之钥（Summoning Key）
250	月球毁灭
251	紫水海报
252	电梯墙面
253	螺旋桨陷阱：从入口门进入后正前方
254	先祖试炼
255	通往南萨普维之颅的楼梯
256	南萨普维之颅（Skull of Nan Sapwe）
257	第一个齿轮
258	蓝色水
259	高射炮弹
260	高射炮
261	A 实验室：后方通往滑索的楼梯附近
262	B 实验室：绿色水池附近的陨石旁
263	带电的僵尸盾牌
264	第三个齿轮
265	黄色试管
266	蜘蛛毒液
267	KT-4 的植物部件
268	KT-4 制作台
269	先祖试炼
270	挂在 Kuda 墙买附近的柱子上
271	挂在主楼梯附近的柱子上
272	挂在靠后方楼梯的柱子上
273	挂在绊雷墙买附近的树上
274	挂在面朝实验室的小山丘树上
275	挂在通往先祖试炼小路右侧的树上
276	种植点附近的窗边
277	机枪阵地的窗边
278	上层的一堆碎石上
279	修复完成的电梯
280	控制面板
281	液态元素试管（Liquid Divinium）
282	巨型蜘蛛洞穴
283	正宗升级零件：蜘蛛牙齿
284	KT-4 植物部件右侧的墙
285	下水管道快速移动入口
286	坠毁飞机后入口的钢筋上
287	坠毁飞机前入口的钢筋上
288	神秘箱位置左侧的岩石上
289	水池右侧的木箱上
290	巨型陨石旁独轮车右侧的木箱上
291	铁制步道上、饮料机旁的木箱
292	基座旁的木箱上
293	滑索终点旁的木箱上
294	VMP 墙买左侧的岩石上
295	挡住最终战房间通路的弱点
296	结局过场动画
297	已供电的发电机
298	补给站终端
299	坦克工厂终端
300	龙指挥部终端
301	龙网络控制器零件
302	龙网络控制器
303	坦克工厂：底层左侧
304	补给站：楼梯下方、神秘箱位置右边
305	龙指挥部：鲍伊猎刀墙买右侧
306	百货商店三楼：从医务室进入后正前方
307	粉色密码试管
308	正确密码
309	格什奖杯
310	女武神无人机奖杯
311	重装僵尸奖杯
312	炸弹奖杯
313	格罗夫舱奖杯
314	下水管道灯光
315	935小组奖杯
316	通往上层楼梯旁：右侧双层床上
317	电陷阱开关右侧的架子上
318	随机饮料机左侧的墙上
319	通往补给站空中步道右侧的墙上
320	顶层：阀门正对面的木箱上
321	龙炎攻击水晶
322	龙蛋
323	龙蛋巢穴
324	孵化中的龙蛋
325	齐格飞手套（Gauntlet of Siegfried）
326	主显示器
327	龙指挥部：神秘箱位置左侧的阳台
328	军械库：底层随机饮料机左侧
329	坦克工厂：泡泡糖机左侧
330	补给站：从地面入口进入后正前方墙上
331	百货商店一楼：楼梯后面
332	格什挑战
333	女武神无人机挑战
334	女武神无人机挑战完成后的状态
335	重装僵尸挑战
336	格罗夫舱挑战
337	格罗夫舱挑战的货物
338	信息下载阶段
339	能量核心
340	能量核心已送回
341	解救尼古莱的按钮
342	巨龙弱点
343	原版尼古莱过场动画
344	原版尼古莱的机甲弱点
345	原版尼古莱机甲的最后弱点
346	结局过场动画
347	墓碑
348	尖石
349	第一卷录音带
350	亡者之夜的录音播放机
351	阿波西康体内的孔洞
352	第二卷录音带
353	剧院的录音播放机
354	精神病院：瀑布附近腐化引擎左侧
355	起源区域：地图外、巨人脚印旁
356	城堡区域：墙跑路径上
357	亡者之夜：通往城堡的传送门上方
358	第三卷录音带
359	起源区域的录音播放机
360	楼梯顶端的轮椅中，腐化引擎右侧
361	弹射跳板附近：随机饮料机旁的轮椅中
362	始源四人组雕像房间：桶上
363	反重力金字塔附近：障碍物左侧地上
364	弹射跳板附近的小桌上
365	VMP 墙买右侧的沙袋上
366	召唤祭坛
367	精神病院区域：通往亡者之囚的弹射跳板上方
368	亡者之夜区域：巨型阿波西康被困位置的上方
369	城堡区域：香格里拉与城堡区域上方
370	亡者之囚区域：起源与监狱区域上方
371	115元素岩石
372	已供电的传送器
373	古书（Kronorium）
374	舞台上的讲台
375	香格里拉区域：楼梯底部的火坑内
376	剧院：通往鲍伊猎刀的小路地上
377	剧院：舞台右侧较高阳台的角落
378	剧院：随机饮料机右侧地上的桶中
379	城堡：始源四人组雕像房间，雕像脚边
380	通往建筑内部小路的左侧
381	绝望之岛房间：两个大型绿色试管之间的地上
382	随机饮料机附近：角落里的两把小椅子旁
383	亡者之囚：到腐化引擎之前的牢房附近
384	亡者之囚：KN-44 墙买附近
385	起源区域：随机饮料机左侧
386	起源区域：Vesper 墙买左侧的一堆石头旁
387	阿波西康的脓包
388	通往起源区域的弹射跳板附近
389	通往香格里拉的弹射跳板附近
390	城堡：雕像房内，三座始源角色雕像前方
391	城堡：反重力压力板上
392	电源室的金属围栏前方
393	绝望之岛房间：两个试管右侧
394	通往剧院弹射跳板的人行道上
395	起源区域：三号发电机通往监狱区域的门口附近
396	亡者之囚：KN-44 墙买对面，灯下
397	紫色发光圆圈
398	古书中的符号
399	紫色符号
400	金色符号
401	成功击中遗物后的状态
402	精神病院：腐化引擎右侧喷泉上的固定 MG42 机枪
403	亡者之囚：其中一间牢房里的海报
404	起源区域：随机饮料机左侧脚手架平台上的墓碑
405	剧院：吊灯中的收音机
406	绿色基座
407	暗影人已被击败
408	结局过场动画
409	试炼旗帜
410	开启强化机的仪式
411	骷髅头点位
412	蓝色骷髅头符号
413	骷髅研磨器
414	木块
415	烧焦的木块
416	粪便
417	肥料
418	丹努阶段的肥料
419	红色能量球
420	燃烧的碗
421	燃烧的箭
422	丹努塔：树木园
423	拉塔：墓室
424	宙斯塔：浴室
425	奥丁塔：大锅房
426	酸液陷阱零件：齿轮
427	酸液陷阱零件：锁链
428	酸液陷阱零件：锅
429	酸液陷阱组装位置
430	金杯
431	带毒效果的神秘箱
432	拉塔墓室内的符号
433	丹努隧道内的符号
434	丹努祭坛室内的符号
435	特殊僵尸符号对照
436	铜锣右侧
437	墙买武器旁，靠在柱子上的零件
438	饮料雕像附近的两根柱子之间
439	宙斯祭坛室：饮料雕像附近窗户左侧，雕像脚边
