0	发电机
1	屏幕亮着的电脑
2	墙上的时钟及前方的压力板
3	舱体附近的发光能量球
4	飘浮的发光能量球
5	原版四人组所在房间的门（Ultimis）
6	保险丝：左边桌子上
7	保险丝：储物柜旁地面
8	保险丝盒
9	发电机一：原版四人组房门对面
10	发电机三：船尾水中
11	发电机四：两段船体交汇处
12	伏特加：船上 M16 墙买附近的栏杆
13	伏特加：MP40 墙买附近连接两艘船的平台边缘
14	传递物品的管道
15	收音机一：电源室下方的柜子上
16	收音机三：船上其中一个集装箱内
17	收音机四：原版四人组房门所在房间的楼梯下方
18	完成设置后的操纵杆位置
19	完成设置后的舵轮位置
20	雾号一：灯塔底部水边
21	雾号二：滑过冰坡后紧邻右侧
22	雾号三：灯塔门外
23	雾号四：冰坡正前方的岩石后面
24	潜艇的绿色灯光
25	金杖（Golden Rod）
26	原版四人组所在房间的门（Ultimis）
27	保险丝盒
28	日食按钮
29	MPL／Pharo 墙买附近的按钮
30	地砖外观
31	地砖符号对照
32	建筑上方的水晶
33	瀑布水晶
34	燃气阀门
35	漏气点一：燃气阀门紧邻右侧
36	漏气点三：M16（黑色行动1）／KN-44（黑色行动3）墙买紧邻左侧
37	最后一个漏气点：M16／KN-44 墙买右侧楼梯上方
38	燃气阀门右侧的拉杆
39	隧道墙上的孔洞
40	已填满的隧道墙孔
41	可以互动的砖块
42	矿车房：矿车入口旁铜锣附近
43	电源室：左侧电闸的左边
44	霰弹枪房：通往电源室的方向
45	霰弹枪房：通往瀑布的方向
46	泥浆房：朝滑水道前进时的右手边
47	绊索陷阱
48	矿车房：MPL（黑色行动1）／Pharo（黑色行动3）墙买左侧
49	矿车房：隧道入口前方
50	矿车房：矿车入口左侧
51	矿车房：通往矿车房的通道左侧
52	从水晶掉落的炸药
53	正在缩小的115元素陨石
54	115陨石缩小后可破坏的墙面
55	聚焦石（Focusing Stone）
56	电塔下方的涡轮机与电人
57	飞向电塔的橙色发光球
58	喷气枪需要瞄准射击的区域
59	发绿光的路灯
60	小怪生成的传送洞（Denizen）
61	弹射器制作台左侧电梯的顶部
62	电闸旁电梯的顶部
63	MP5 墙买旁电梯的顶部
64	电源大楼屋顶：下落点附近
65	第一颗龙珠
66	第二颗龙珠
67	电源大楼屋顶：神秘箱附近
68	电源大楼屋顶：两部电梯外侧
69	狮子雕像爪下的球
70	电塔侧面发橙光的状态
71	狮子雕像爪下的球
72	黏性手雷墙买附近的阳台
73	电塔侧面发蓝光的状态
74	方向对照：东（E）、北（N）、南（S）、西（W）
75	电源大楼屋顶电塔的角落：这里固定是北方麻将牌
76	倒置大楼内的沙发上
77	电拳套下方的竖井
78	佛像大厅二楼：泰迪熊附近
79	电闸房：缝纫桌附近
80	AK74U 墙买附近的架子上
81	厨房：MP5 附近的台面上
82	数字输入面板
83	螺旋楼梯上的蓝色数字
84	发电机室内的蓝色传送门
85	飞机零件：燃料罐
86	飞机零件：控制阀
87	电椅
88	燃料罐
89	医务室的地狱犬头
90	地狱救赎者飞斧（Hell's Retriever）
91	贴有海报的牢房
92	幽灵模式符号下方的勺子
93	城堡隧道：从螺旋楼梯向上走的楼梯中段
94	医务室入口
95	坐在电椅上、尚未附身的自己
96	强化机左侧的独轮车内
97	巨人脚底的黄色灯光
98	风杖零件
99	风元素水晶
100	先祖大厅（Hall of the Ancients）
101	冰杖零件：二号、三号发电机区域
102	冰杖零件：四号、五号发电机区域
103	后门附近的架子上
104	神秘箱右侧的架子上
105	入口附近的桌子上
106	冰元素水晶
107	先祖大厅（Hall of the Ancients）
108	通往二号发电机路上的木楼梯
109	巨人脚印内的法杖零件
110	小路尽头的法杖零件
111	随机饮料机右侧的木桌上
112	雷元素水晶
113	先祖大厅（Hall of the Ancients）
114	用实弹枪械击落发光飞机
115	发光飞机掉落的法杖零件
116	启动六号发电机后，在旁边奖励箱领取零件
117	击杀第八回合出现的装甲僵尸
118	上层窗户附近的长凳上
119	六号发电机标牌右侧的箱子上
120	坦克与楼梯之间的箱堆上
121	火元素水晶
122	先祖大厅（Hall of the Ancients）
123	石制圆盘
124	风杖谜题
125	冰杖谜题
126	冰杖符号板
127	冰杖密码对照表
128	MP40（黑色行动2）／KN-44（黑色行动3）墙买对面的脚印附近
129	MP40（黑色行动2）／KN-44（黑色行动3）墙买右侧
130	二号发电机附近：地图外倒下的巨人旁
131	雷杖谜题
132	需要转动旋钮的面板
133	面板旋钮的位置与朝向
134	火杖阶段的火罐与金属网格
135	火杖谜题
136	火杖密码对照表
137	地下的四根拉杆
138	彩色能量球
139	法杖底座
140	风杖底座：中间巨人奥丁的头部内部
141	火杖底座：先祖大厅内
142	先祖大厅（Hall of the Ancients）
143	二号发电机附近：放有石板的桌子
144	雷霆空袭信标（G-Strikes）
145	巨人内部的红色按钮
146	五号发电机附近、地图外的封印
147	强化机左侧的角落
148	木平台上、灯笼旁的木箱
149	麦克西斯无人机（Maxis Drone）
150	MP40 墙买正对面
151	四号发电机前方：奥丁的右脚印
152	通往五号发电机的左侧小路，靠右边
153	拳头周围有薄雾的圣殿骑士僵尸
154	石板奖励道具
155	四号发电机附近：奥丁右脚印内
156	五号发电机附近：奥丁右脚印内
157	“唤起地狱”阶段（Raise Hell）
158	“自由”阶段（Freedom）
159	召唤之钥（Summoning Key）
160	律师的钢笔
161	侦探的警徽
162	红兔夜总会的钩爪点
163	红兔夜总会的电箱
164	假发
165	黑蕾丝夜总会的钩爪点
166	冠军腰带
167	拳击馆大门
168	阿波西康符号墙
169	门虫仪式
170	符号出现的位置
171	全部九种可能的符号
172	阿波西康蛋与剑
173	取得蛋的那面墙正对面
174	升级用祭卵（Arch-Ovum，图中角色为尼禄）
175	摊开的巨大书本
176	地下旗帜
177	紫色电光
178	旗帜仪式
179	暗影人的护盾
180	白色灵魂光点
181	电箱
182	结局过场动画
183	远古之怒弓（Wrath of the Ancients）
184	风向标
185	从 KRM 墙买处望去，远处山丘上
186	反重力开关面板
187	双发饮料机上方：工作台附近
188	被电弓充能的篝火
189	雷电弓重铸箭头
190	火弓符号
191	火弓阶段的发光岩石
192	双发饮料机附近：射击圆环时的站位与对准方式
193	圆环出现红色光晕的状态
194	补给室壁炉
195	萨曼莎房间的壁炉
196	壁炉中的火焰
197	装有重铸箭头的太阳状火球
198	狼王画像一：坐在王座上，身边围着狼
199	狼王画像二：骑马并举着旗帜
200	狼王画像三：山上的城堡与闪电
201	狼王画像四：狼王已死，仆人在旁哀悼
202	通往萨曼莎房间的走廊内
203	断裂的箭
204	狼弓旗帜
205	狼头骨
206	狼骨架与幽灵狼
207	狼指引的挖掘点
208	狼弓平台与箭头
209	虚空弓符号
210	虚空弓瓮罐
211	三枪饮料机附近的破墙上
212	双发饮料机右侧的破墙上
213	萨曼莎房间：玩具箱内
214	传送室：传送器右侧的水槽内
215	用于献祭的爬行僵尸
216	符号对照：图中未列出的两种是爪痕与泪滴
217	骑士盔甲走廊
218	输入恶魔名字
219	紫色光芒
